second,distance,motion,lightIntensity,occupied,occupied_ml
467,2367.0,0,2.5,1,0
468,2370.0,0,2.5,1,0
469,2374.0,0,2.5,1,0
470,2378.0,0,2.5,1,0
471,2377.0,0,2.5,1,0
472,2376.0,0,2.5,1,0
473,2379.0,0,2.5,1,0
474,2379.0,0,2.5,1,0
475,2374.0,0,2.5,1,0
476,2379.0,0,2.5,1,0
477,2380.0,0,2.5,1,0
478,2378.0,0,2.5,1,0
479,2379.0,0,2.5,1,0
480,2379.0,0,2.5,1,0
481,2380.0,0,2.5,1,0
482,2379.0,0,2.5,1,0
483,2379.0,0,2.5,1,0
484,2380.0,0,2.5,1,0
485,2379.0,0,2.5,1,0
486,2371.0,0,2.5,1,0
487,2370.0,0,2.5,1,0
488,2375.0,0,2.5,1,0
489,2379.0,0,2.5,1,0
490,2380.0,0,2.5,1,0
491,2380.0,0,2.5,1,0
492,2376.0,0,2.5,1,0
493,2376.0,0,2.5,1,0
494,2379.0,0,2.5,1,0
495,2373.0,0,2.5,1,0
496,2380.0,0,2.5,1,0
497,2379.0,0,2.5,1,0
498,2379.0,0,2.5,1,0
499,2374.0,0,2.5,1,0
500,2380.0,0,2.5,1,0
501,2374.0,0,2.5,1,0
502,2380.0,0,2.5,1,0
503,2380.0,0,2.5,1,0
504,2373.0,0,2.5,1,0
505,2371.0,0,2.5,1,0
506,2375.0,0,2.5,1,0
507,2369.0,0,2.5,1,0
508,2370.0,0,2.5,1,0
509,2380.0,0,2.5,1,0
510,2380.0,0,2.5,1,0
511,2379.0,0,2.5,1,0
512,2373.0,0,2.5,1,0
513,2371.0,0,2.5,1,0
514,2376.0,0,2.5,1,0
515,2378.0,0,2.5,1,0
516,2374.0,0,2.5,1,0
517,2377.0,0,2.5,1,0
518,2380.0,0,2.5,1,0
519,2380.0,0,2.5,1,0
520,2379.0,0,2.5,1,0
521,2379.0,0,2.5,1,0
522,2380.0,0,2.5,1,0
523,2380.0,0,2.5,1,0
524,2376.0,0,2.5,1,0
525,2379.0,0,2.5,1,0
526,2380.0,0,2.5,1,0
527,2380.0,0,2.5,1,0
528,2380.0,0,2.5,1,0
529,2379.0,0,2.5,1,0
530,2381.0,0,2.5,1,0
531,2375.0,0,2.5,1,0
532,2380.0,0,2.5,1,0
533,2380.0,0,2.5,1,0
534,2375.0,0,2.5,1,0
535,2373.0,0,2.5,1,0
536,2377.0,0,2.5,1,0
537,2377.0,0,2.5,1,0
538,2376.0,0,2.5,1,0
539,2375.0,0,2.5,1,0
540,2379.0,0,2.5,1,0
541,2374.0,0,2.5,1,0
542,2379.0,0,2.5,1,0
543,2380.0,0,2.5,1,0
544,2380.0,0,2.5,1,0
545,2381.0,0,2.5,1,0
546,2381.0,0,2.5,1,0
547,2378.0,0,2.5,1,0
548,2378.0,0,2.5,1,0
549,2379.0,0,2.5,1,0
