354 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
355 -> distance: 337.00, motion: 0, lightIntensity: 2.50, occupied: 1
356 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
357 -> distance: 281.00, motion: 0, lightIntensity: 3.33, occupied: 1
358 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
359 -> distance: 132.00, motion: 0, lightIntensity: 3.33, occupied: 1
360 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
361 -> distance: 131.00, motion: 0, lightIntensity: 3.33, occupied: 1
362 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
363 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
364 -> distance: 132.00, motion: 0, lightIntensity: 4.17, occupied: 1
365 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
366 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
367 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
368 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
369 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
370 -> distance: 336.00, motion: 0, lightIntensity: 3.33, occupied: 1
371 -> distance: 130.00, motion: 0, lightIntensity: 3.33, occupied: 1
372 -> distance: 284.00, motion: 0, lightIntensity: 3.33, occupied: 1
373 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
374 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
375 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
376 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
377 -> distance: 130.00, motion: 0, lightIntensity: 4.17, occupied: 1
378 -> distance: 128.00, motion: 0, lightIntensity: 4.17, occupied: 1
379 -> distance: 129.00, motion: 0, lightIntensity: 4.17, occupied: 1
380 -> distance: 129.00, motion: 0, lightIntensity: 4.17, occupied: 1
382 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
383 -> distance: 129.00, motion: 0, lightIntensity: 4.17, occupied: 1
384 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
385 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
386 -> distance: 128.00, motion: 0, lightIntensity: 4.17, occupied: 1
387 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
388 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
389 -> distance: 132.00, motion: 0, lightIntensity: 4.17, occupied: 1
390 -> distance: 191.00, motion: 0, lightIntensity: 4.17, occupied: 1
391 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
392 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
393 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
394 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
395 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
396 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
397 -> distance: 193.00, motion: 0, lightIntensity: 3.33, occupied: 1
398 -> distance: 130.00, motion: 0, lightIntensity: 4.17, occupied: 1
399 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
400 -> distance: 281.00, motion: 0, lightIntensity: 3.33, occupied: 1
401 -> distance: 128.00, motion: 0, lightIntensity: 3.33, occupied: 1
402 -> distance: 132.00, motion: 0, lightIntensity: 3.33, occupied: 1
403 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
404 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
405 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
406 -> distance: 284.00, motion: 0, lightIntensity: 3.33, occupied: 1
407 -> distance: 129.00, motion: 0, lightIntensity: 3.33, occupied: 1
408 -> distance: 284.00, motion: 0, lightIntensity: 3.33, occupied: 1
409 -> distance: 338.00, motion: 0, lightIntensity: 3.33, occupied: 1
411 -> distance: 280.00, motion: 0, lightIntensity: 3.33, occupied: 1
412 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
413 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
414 -> distance: 339.00, motion: 0, lightIntensity: 3.33, occupied: 1
415 -> distance: 129.00, motion: 0, lightIntensity: 3.33, occupied: 1
416 -> distance: 128.00, motion: 0, lightIntensity: 3.33, occupied: 1
417 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
418 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
419 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
420 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
421 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
