second,distance,motion,lightIntensity,occupied,occupied_note
487,2331.0,0,8.33,1,1
488,347.0,0,8.33,1,1
489,345.0,0,8.33,1,1
490,345.0,0,8.33,1,1
491,345.0,0,8.33,1,1
492,344.0,0,8.33,1,1
493,344.0,0,8.33,1,1
494,2330.0,0,8.33,1,1
495,345.0,0,8.33,1,1
496,2331.0,0,8.33,1,1
497,344.0,0,8.33,1,1
498,2330.0,0,8.33,1,1
499,346.0,0,8.33,1,1
500,346.0,0,8.33,1,1
501,346.0,0,8.33,1,1
502,346.0,0,8.33,1,1
503,346.0,0,8.33,1,1
504,2332.0,0,8.33,1,1
505,346.0,0,8.33,1,1
506,2331.0,0,8.33,1,1
507,345.0,0,8.33,1,1
508,344.0,0,8.33,1,1
509,344.0,0,8.33,1,1
510,346.0,0,8.33,1,1
511,346.0,0,8.33,1,1
512,345.0,0,8.33,1,1
513,346.0,0,8.33,1,1
514,345.0,0,8.33,1,1
515,347.0,0,8.33,1,1
516,344.0,0,8.33,1,1
517,346.0,0,8.33,1,1
518,343.0,0,8.33,1,1
519,345.0,0,8.33,1,1
520,344.0,0,8.33,1,1
521,346.0,0,8.33,1,1
522,345.0,0,8.33,1,1
523,346.0,0,8.33,1,1
524,2333.0,0,8.33,1,1
525,2333.0,0,8.33,1,1
526,2333.0,0,8.33,1,1
527,2333.0,0,8.33,1,1
528,2333.0,0,8.33,1,1
529,2333.0,0,8.33,1,1
530,2333.0,0,8.33,1,1
531,2333.0,0,8.33,1,1
532,2333.0,0,8.33,1,1
533,2333.0,0,8.33,1,1
534,2333.0,0,8.33,1,1
535,2333.0,0,8.33,1,1
536,2333.0,0,8.33,1,1
537,2333.0,0,8.33,1,1
538,2333.0,0,8.33,1,1
539,2333.0,0,8.33,1,1
540,2333.0,0,8.33,1,1
541,2333.0,0,8.33,1,1
542,2333.0,0,8.33,1,1
543,2333.0,0,8.33,1,1
544,2333.0,0,8.33,1,1
545,2333.0,0,8.33,1,1
546,2333.0,0,8.33,1,1
547,2333.0,0,8.33,1,1
548,2333.0,0,8.33,1,1
549,2333.0,0,8.33,1,1
550,2333.0,0,8.33,1,1
551,2333.0,0,8.33,1,1
552,2333.0,0,8.33,1,1
553,2333.0,0,8.33,1,1
554,2333.0,0,8.33,1,1
555,2333.0,0,8.33,1,1
556,2333.0,0,8.33,1,1
557,2333.0,0,8.33,1,1
558,2333.0,0,8.33,1,1
559,2333.0,0,8.33,1,1
560,2333.0,0,8.33,1,1
561,2333.0,0,8.33,1,1
562,2333.0,0,8.33,1,1
563,2333.0,0,8.33,1,1
564,2333.0,0,8.33,1,1
565,2333.0,0,8.33,1,1
566,2333.0,0,8.33,1,1
567,2333.0,0,8.33,1,1
568,2333.0,0,8.33,1,1
569,2333.0,0,8.33,1,1
570,2333.0,0,8.33,1,1
571,2333.0,0,8.33,1,1
572,2333.0,0,8.33,1,1
573,2333.0,0,8.33,1,1
574,2333.0,0,8.33,1,1
575,2333.0,0,8.33,1,1
576,2333.0,0,8.33,1,1
577,2333.0,0,8.33,1,1
578,2333.0,0,8.33,1,1
579,2333.0,0,8.33,1,1
580,2333.0,0,8.33,1,1
581,2333.0,0,8.33,1,1
582,287.0,0,8.33,1,1
583,346.0,0,8.33,1,1
584,2345.0,0,8.33,1,1
585,344.0,0,8.33,1,1
586,346.0,0,8.33,1,1
587,346.0,0,8.33,1,1
588,344.0,0,8.33,1,1
589,345.0,0,8.33,1,1
590,345.0,0,8.33,1,1
591,344.0,0,8.33,1,1
592,345.0,0,8.33,1,1
593,344.0,1,8.33,1,1
594,347.0,0,8.33,1,1
595,2345.0,0,8.33,1,1
596,344.0,0,8.33,1,1
597,2345.0,0,8.33,1,1
598,344.0,0,8.33,1,1
599,344.0,0,8.33,1,1
600,346.0,0,8.33,1,1
601,344.0,0,8.33,1,1
602,345.0,0,8.33,1,1
603,345.0,0,8.33,1,1
604,344.0,0,8.33,1,1
605,343.0,0,8.33,1,1
606,345.0,0,8.33,1,1
607,343.0,0,8.33,1,1
608,345.0,0,8.33,1,1
609,2346.0,0,8.33,1,1
610,345.0,0,8.33,1,1
611,344.0,0,8.33,1,1
612,343.0,0,8.33,1,1
613,345.0,0,8.33,1,1
614,347.0,0,8.33,1,1
615,346.0,0,8.33,1,1
616,346.0,0,8.33,1,1
617,346.0,0,8.33,1,1
618,2342.0,0,8.33,1,1
619,347.0,0,8.33,1,1
620,346.0,0,8.33,1,1
621,2342.0,0,8.33,1,1
622,347.0,0,8.33,1,1
623,347.0,0,8.33,1,1
624,344.0,0,8.33,1,1
625,346.0,0,8.33,1,1
626,345.0,0,8.33,1,1
627,344.0,0,8.33,1,1
628,344.0,0,8.33,1,1
629,346.0,0,8.33,1,1
630,345.0,0,8.33,1,1
631,345.0,0,8.33,1,1
632,346.0,0,8.33,1,1
633,346.0,0,8.33,1,1
634,2340.0,0,8.33,1,1
635,346.0,0,8.33,1,1
636,343.0,0,8.33,1,1
637,344.0,0,8.33,1,1
638,288.0,0,8.33,1,1
639,346.0,0,8.33,1,1
640,345.0,0,8.33,1,1
641,344.0,0,8.33,1,1
642,344.0,0,8.33,1,1
643,344.0,0,8.33,1,1
644,347.0,0,8.33,1,1
645,345.0,0,8.33,1,1
646,345.0,0,8.33,1,1
647,285.0,0,8.33,1,1
648,345.0,0,8.33,1,1
649,343.0,0,8.33,1,1
650,347.0,0,8.33,1,1
651,345.0,0,8.33,1,1
652,2341.0,0,8.33,1,1
653,288.0,0,8.33,1,1
654,345.0,0,8.33,1,1
655,346.0,0,8.33,1,1
656,347.0,0,8.33,1,1
657,343.0,0,8.33,1,1
658,346.0,0,8.33,1,1
659,346.0,0,8.33,1,1
660,346.0,0,8.33,1,1
661,345.0,0,8.33,1,1
662,345.0,0,8.33,1,1
663,343.0,0,8.33,1,1
664,344.0,0,8.33,1,1
665,345.0,0,8.33,1,1
666,344.0,0,8.33,1,1
667,345.0,0,8.33,1,1
668,345.0,0,8.33,1,1
669,345.0,0,8.33,1,1
670,343.0,0,8.33,1,1
671,345.0,0,8.33,1,1
672,346.0,0,8.33,1,1
673,342.0,0,8.33,1,1
674,344.0,0,8.33,1,1
675,345.0,0,8.33,1,1
676,346.0,0,8.33,1,1
677,344.0,0,8.33,1,1
678,345.0,0,8.33,1,1
679,2339.0,0,8.33,1,1
