second,distance,motion,lightIntensity,occupied,occupied_ml
723,2378.00,1,2.50,1,0
725,2375.00,0,2.50,1,0
726,2371.00,0,2.50,1,0
727,2374.00,0,2.50,1,0
728,2375.00,0,2.50,1,0
729,2374.00,1,2.50,1,0
730,2374.00,0,2.50,1,0
731,2376.00,0,2.50,1,0
732,2375.00,0,2.50,1,0
733,2373.00,0,2.50,1,0
734,2375.00,0,2.50,1,0
735,2375.00,0,2.50,1,0
736,2376.00,0,2.50,1,0
737,2375.00,0,2.50,1,0
738,2377.00,0,2.50,1,0
739,2376.00,0,2.50,1,0
740,2377.00,0,2.50,1,0
741,2376.00,0,2.50,1,0
742,2376.00,0,2.50,1,0
743,2377.00,0,2.50,1,0
744,2377.00,0,2.50,1,0
745,2378.00,0,2.50,1,0
746,2372.00,0,2.50,1,0
747,2375.00,0,2.50,1,0
748,2376.00,0,2.50,1,0
749,2376.00,0,2.50,1,0
750,2378.00,0,2.50,1,0
751,2377.00,0,2.50,1,0
752,2378.00,0,2.50,1,0
753,2376.00,0,2.50,1,0
754,2376.00,0,2.50,1,0
755,2377.00,0,2.50,1,0
756,2375.00,0,2.50,1,0
757,2374.00,0,2.50,1,0
758,2375.00,0,2.50,1,0
759,2374.00,0,2.50,1,0
760,2377.00,0,2.50,1,0
761,2377.00,0,2.50,1,0
762,2377.00,0,2.50,1,0
763,2378.00,0,2.50,1,0
764,2377.00,0,2.50,1,0
765,2379.00,0,2.50,1,0
766,2378.00,0,2.50,1,0
767,2372.00,0,2.50,1,0
768,2373.00,0,2.50,1,0
769,2378.00,0,2.50,1,0
770,2379.00,0,2.50,1,0
771,2377.00,0,2.50,1,0
772,2378.00,0,2.50,1,0
773,2379.00,0,2.50,1,0
774,2377.00,0,2.50,1,0
775,2377.00,0,2.50,1,0
776,2377.00,0,2.50,1,0
777,2371.00,0,2.50,1,0
778,2372.00,0,2.50,1,0
779,2372.00,0,2.50,1,0
780,2373.00,0,2.50,1,0
781,2377.00,0,2.50,1,0
782,2375.00,0,2.50,1,0
783,2377.00,0,2.50,1,0
784,2375.00,0,2.50,1,0
785,2374.00,0,2.50,1,0
786,2375.00,0,2.50,1,0
787,2374.00,0,2.50,1,0
788,2376.00,0,2.50,1,0
789,2374.00,0,2.50,1,0
790,2374.00,0,2.50,1,0
791,2377.00,0,2.50,1,0
792,2371.00,0,2.50,1,0
793,2376.00,0,2.50,1,0
794,2370.00,0,2.50,1,0
795,2368.00,0,2.50,1,0
796,2367.00,0,2.50,1,0
797,2372.00,0,2.50,1,0
798,2372.00,0,2.50,1,0
800,2373.00,0,2.50,1,0
801,2372.00,0,2.50,1,0
802,2371.00,0,2.50,1,0
803,2372.00,0,2.50,1,0
804,2372.00,0,2.50,1,0
805,2372.00,0,2.50,1,0
806,2373.00,0,2.50,1,0
807,2371.00,0,2.50,1,0
808,2373.00,0,2.50,1,0
809,2374.00,0,2.50,1,0
810,2374.00,0,2.50,1,0
811,2377.00,0,2.50,1,0
812,2376.00,0,2.50,1,0
813,2376.00,0,2.50,1,0
814,2375.00,0,2.50,1,0
815,2377.00,0,2.50,1,0
816,2377.00,0,2.50,1,0
817,2377.00,0,2.50,1,0
818,2378.00,0,2.50,1,0
819,2378.00,0,2.50,1,0
820,2378.00,0,2.50,1,0
821,2377.00,0,2.50,1,0
822,2371.00,0,2.50,1,0
823,2375.00,0,2.50,1,0
824,2378.00,0,2.50,1,0
825,2377.00,0,2.50,1,0
826,2375.00,0,2.50,1,0
827,2378.00,0,2.50,1,0
828,2372.00,0,2.50,1,0
829,2372.00,0,2.50,1,0
830,2378.00,0,2.50,1,0
831,2378.00,0,2.50,1,0
832,2378.00,0,2.50,1,0
833,2378.00,0,2.50,1,0
834,2377.00,0,2.50,1,0
835,2378.00,0,2.50,1,0
836,2378.00,0,2.50,1,0
