second,distance,motion,lightIntensity,occupied,occupied_note
808,253.0,0,7.5,0,1
809,221.0,0,7.5,0,1
810,245.0,0,7.5,0,1
811,246.0,0,7.5,0,1
812,253.0,0,7.5,0,1
813,193.0,0,7.5,0,1
814,245.0,0,7.5,0,1
815,252.0,0,7.5,0,1
816,251.0,0,7.5,0,1
817,253.0,0,7.5,0,1
818,253.0,0,7.5,0,1
819,252.0,0,7.5,0,1
820,252.0,0,7.5,0,1
821,86.0,0,7.5,0,1
822,89.0,0,7.5,0,1
823,247.0,0,7.5,0,1
824,247.0,0,7.5,0,1
825,246.0,0,7.5,0,1
826,245.0,0,7.5,0,1
827,246.0,0,7.5,0,1
828,216.0,0,7.5,0,1
829,245.0,0,7.5,0,1
830,245.0,0,7.5,0,1
831,245.0,0,7.5,0,1
832,245.0,0,7.5,0,1
833,246.0,0,7.5,0,1
834,247.0,0,7.5,0,1
835,195.0,0,7.5,0,1
836,253.0,0,7.5,0,1
837,252.0,0,7.5,0,1
838,253.0,0,7.5,0,1
839,253.0,0,7.5,0,1
840,252.0,0,7.5,0,1
841,252.0,0,7.5,0,1
842,252.0,0,7.5,0,1
843,253.0,0,7.5,0,1
844,252.0,0,7.5,0,1
845,220.0,0,7.5,0,1
846,252.0,0,7.5,0,1
847,247.0,0,7.5,0,1
848,245.0,0,7.5,0,1
849,196.0,0,7.5,0,1
850,245.0,0,7.5,0,1
851,246.0,0,7.5,0,1
852,245.0,0,7.5,0,1
853,244.0,0,7.5,0,1
854,192.0,0,7.5,0,1
855,244.0,0,7.5,0,1
856,244.0,0,7.5,0,1
857,245.0,0,7.5,0,1
858,245.0,0,7.5,0,1
859,245.0,0,7.5,0,1
860,244.0,0,7.5,0,1
861,244.0,0,7.5,0,1
862,192.0,0,7.5,0,1
863,246.0,0,7.5,0,1
864,245.0,0,7.5,0,1
865,189.0,0,7.5,0,1
866,245.0,0,7.5,0,1
867,244.0,0,7.5,0,1
